,Borehole ID,Depth (m),Moisture Content (%),Bulk Density (kg/m3),Dry Density (kg/m3),Shear Strength (kPa) (Direct),SPT Value (blows/ft),Shear Strength (kPa) (Triaxial),Triaxial Test,Soil Condition During Triaxial Test,Particle Density (%),Liquid Limit (%),Plastic Limit (%),Porosity (%),Bearing Capacity (kPa),Unconfined Compressive Strength (MPa),Rock Quality Designation (%),Angle of Internal Friction (°),Grain Size,Soil Types,Soil Description,Latitude,Longitude,Borehole Start Date
299,F08,17.0,0.27,,,,,,,,,,,,,,,,,"clay, sand",at 17.68 m -  feldspar vein inclined <5 degrees (<3mm thick).,-3.4505774259,53.9791891766,11/06/2010
300,F08,18.0,0.23,,,,,,,,,,,,,,,,,"clay, sand",at 18.52 m - fracture inclined at 10 degrees,-3.4505774259,53.9791891766,11/06/2010
301,F08,18.35,0.2,,,,,,,,,,,,,140.8,95.3,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
302,F08,19.85,0.2,,,,,,,,,,,,,,95.3,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
303,F08,21.35,0.2,,,,,,,,,,,,,165.2,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
304,F08,22.85,0.2,,,,,,,,,,,,,116.7,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
305,F08,23.0,0.2,,,,,,,,,,,,,,,,,"clay, sand",at 23.23 m - feldspar vein inclined <5 degrees (up to 2mm thick).,-3.4505774259,53.9791891766,11/06/2010
306,F08,24.0,0.2,,,,,,,,,,,,,,,,,"clay, sand",Very strong fresh massive dark grey crystalline MICROGABRO >75 degrees,-3.4505774259,53.9791891766,11/06/2010
307,F08,24.35,0.2,,,,,,,,,,,,,,91.3,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
308,F08,25.85,0.2,,,,,,,,,,,,,,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
309,F08,27.0,0.2,,,,,,,,,,,,,,,,,"clay, sand",at 27.16 m - feldspar vein inclined 5 degrees (up to 2mm thick).,-3.4505774259,53.9791891766,11/06/2010
310,F08,27.35,0.2,,,,,,,,,,,,,,95.3,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
311,F08,28.0,0.2,,,,,,,,,,,,,,,,,"clay, sand",at 28.97 m - feldspar vein inclined at <5 degrees (<2mm).,-3.4505774259,53.9791891766,11/06/2010
312,F08,28.85,0.2,,,,,,,,,,,,,70.0,96.7,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
313,F08,30.35,0.25,,,,,,,,,,,,,,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
314,F08,30.5,0.3,,,,,,,,,,,,,122.0,96.3,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
315,F08,31.0,0.3,,,,,,,,,,,,,,,,,"clay, sand",from 31.95 m to 32.40 m - feldspar vein,-3.4505774259,53.9791891766,11/06/2010
316,F08,31.85,0.3,,,,,,,,,,,,,,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
317,F08,33.0,0.3,,,,,,,,,,,,,,,,,"clay, sand",from 33.4 m to 37.2 m - fracture inclined at 75 - >85 degrees,-3.4505774259,53.9791891766,11/06/2010
318,F08,33.35,0.3,,,,,,,,,,,,,,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
319,F08,34.85,0.3,,,,,,,,,,,,,,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
320,F08,35.0,0.3,,,,,,,,,,,,,,,,,"clay, sand",from 35.65 m to 36.10 m - feldspar vein inclined >85 degrees.,-3.4505774259,53.9791891766,11/06/2010
321,F08,36.35,0.3,,,,,,,,,,,,,,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
322,F08,37.85,0.3,,,,,,,,,,,,,148.1,100.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
323,F08,39.35,0.3,,,,,,,,,,,,,,92.0,,,"clay, sand",,-3.4505774259,53.9791891766,11/06/2010
324,G06,0.0,,,,,,,,,2.68,,,,,,,,0.002,"clay, sand",Very soft dark grey sandy CLAY YER) [UNIT I],-3.4495018942,53.9915608157,30/06/2010
325,G06,1.0,20.0,,,,,,,,,28.0,8.0,,,,,,,sand,Below 1.00 m - locally grades into very silty sand.,-3.4495018942,53.9915608157,30/06/2010
326,G06,2.0,25.1,1997.96,1600.41,,,,,,,,,0.1999999999999999,,,,,0.002,sand,Dark grey silty to very silty SAND,-3.4495018942,53.9915608157,30/06/2010
327,G06,3.0,23.92,,,,,,,,,,,,,,,,,sand,,-3.4495018942,53.9915608157,30/06/2010
328,G06,4.0,22.75,,,,,,,,,,,,,,,,,sand,Dark greyish brown,-3.4495018942,53.9915608157,30/06/2010
329,G06,5.0,21.28,,,,,,,,,,,,,,,,,"clay, sand",at 5.05 m - 1 No. thin lamina of very soft very dark grey sandy clay.  Sand is fine and medium.,-3.4495018942,53.9915608157,30/06/2010
330,G06,6.0,23.25,,,,,,,,,,,,,,,,0.002,sand,from 6.00 m to 6.45 m - occasional black medium and coarse sand sized fragments (possibly carbonaceous).,-3.4495018942,53.9915608157,30/06/2010
331,G06,7.0,23.68,,,,,,,,,,,,,,,,,"gravel, sand",from 7.00 m to 7.45 m - very closely spaced thin laminae of very dark grey silty fine and medium sand.,-3.4495018942,53.9915608157,30/06/2010
332,G06,8.0,23.48,,,,,,,,,,,,,,,,,"gravel, sand",,-3.4495018942,53.9915608157,30/06/2010
333,G06,9.0,24.0,,,,,,,,,,,,,,,,,"gravel, sand",,-3.4495018942,53.9915608157,30/06/2010
334,G06,10.0,23.81,,,,,,,,,,,,,,,,,"gravel, sand",,-3.4495018942,53.9915608157,30/06/2010
335,G06,11.0,22.95,,,,,,,,2.66,,,,,,,,0.002,"gravel, sand",,-3.4495018942,53.9915608157,30/06/2010
336,G06,12.0,22.39,,,,,,,,,,,,,,,,,"gravel, sand",,-3.4495018942,53.9915608157,30/06/2010
337,G06,13.0,23.79,1931.7,1564.73,,,,,,,,,0.1899999999999999,,,,,,sand,Thinly laminated dark grey and very dark grey silty SAND,-3.4495018942,53.9915608157,30/06/2010
338,G06,14.0,22.45,1870.54,1529.05,,,,CD,Reconstituted,,,,0.18,,,,40.5,0.002,sand,from 14.00 m to 15.00 m - very closely to closely spaced thin laminae of black medium and coarse sand sized fragments (possibly carbonaceous).,-3.4495018942,53.9915608157,30/06/2010
339,G06,15.0,26.3,1936.8,1539.25,,,,,,,,,0.2099999999999999,,,,,,sand,from 15.00 m to 15.30 m - extremely closely to very closely spaced thin laminae of very dark grey silty fine sand.,-3.4495018942,53.9915608157,30/06/2010
340,G06,16.0,23.55,2008.15,1628.44,,,,CD,Reconstituted,2.63,,,0.1899999999999999,,,,37.0,0.002,"gravel, sand",Grey silty SAND with very closely spaced thin laminae of dark grey and black silty fine sand.  Sand is fine and medium. (WESTERN IRISH SEA PROGRADED SANDS - UPPER MEMBER) [UNIT IIa],-3.4495018942,53.9915608157,30/06/2010
341,G06,17.0,24.0,,,,,,,,,,,,,,,,,sand,from 17.00 m to 17.50 m - No Recovery,-3.4495018942,53.9915608157,30/06/2010
342,G06,17.5,24.46,1924.06,1544.34,,,,,,,,,0.1999999999999999,,,,,0.002,sand,,-3.4495018942,53.9915608157,30/06/2010
343,G06,18.0,20.22,,,,,,,,,,,,,,,,,"clay, gravel, sand",from 18.50 m to 18.65 m - dark grey slightly silty fine to coarse sand with occasional shell fragments (<4mm).,-3.4495018942,53.9915608157,30/06/2010
344,G06,18.5,15.98,2232.42,1967.38,188.0,129.0,386.0,CU,Undisturbed,2.7,23.0,10.0,0.12,14088.7,,,,0.002,"clay, gravel, sand",,-3.4495018942,53.9915608157,30/06/2010
345,G06,19.0,16.22,,,,,,,,,,,,,,,,,gravel,at 19.95 m - rare lenses (<5mm x 50mm) of dark grey silt with slight organic odour.,-3.4495018942,53.9915608157,30/06/2010
346,G06,20.0,16.45,,,,115.0,,,,,30.0,15.0,,,,,,0.002,sand,from 20.40 m to 20.47 m - very closely spaced thin laminae of light grey fine and medium sand.,-3.4495018942,53.9915608157,30/06/2010
347,G06,21.0,28.46,,,,17.0,,,,,,,,,,,,,gravel,from 21.00 m to 24.05 m - subrounded and rounded fine to coarse flint gravel.,-3.4495018942,53.9915608157,30/06/2010
348,G06,22.0,27.07,,,,24.0,,,,,,,,,,,,,gravel,,-3.4495018942,53.9915608157,30/06/2010
349,G06,23.0,20.17,,,,49.0,,,,,35.0,20.0,,,,,,0.002,"clay, sand",from 23.30 m to 23.35 m - light brown silty fine and medium sand with rare laminae of soft brown clay,-3.4495018942,53.9915608157,30/06/2010
350,G06,24.0,14.03,2229.02,1960.58,417.0,147.0,197.0,UU,Remoulded,,29.0,14.5,0.12,18546.62,,,,0.002,"clay, gravel, mud, sand",Firm reddish brown slightly sandy calcareous CLAY with some lithorelicts of very weak mudstone and fine and medium gravel sized fragments of gypsum. (WEATHERED MERCIA MUDSTONE) [UNIT VIa],-3.4495018942,53.9915608157,30/06/2010
351,G06,25.0,13.03,,,,,,,,,,,,,,,,,"mud, sand",Very weak locally weak partially weathered reddish brown slightly sandy calcareous MUDSTONE with very closely to closely spaced gypsum veins (<15mm thick) inclined <5 - 45 degrees.  Fracture s are closely spaced inclined between <5 and <60 degrees,-3.4495018942,53.9915608157,30/06/2010
352,G06,25.5,12.02,,,,,,,,,,,,,,18.7,,,"mud, sand",,-3.4495018942,53.9915608157,30/06/2010
353,G06,26.0,11.02,,,,,,,,,,,,,,,,,"clay, mud, sand",at 26.90 m - 35mm thin bed of weak grey green mudstone.,-3.4495018942,53.9915608157,30/06/2010
354,G06,27.0,10.01,,,,,,,,,,,,,,34.7,,,"clay, mud, sand",from 27.30 m to 27.90 m - fracture linclined at >85 degrees,-3.4495018942,53.9915608157,30/06/2010
355,G06,28.0,9.01,,,,,,,,,,,,,,,,,mud,Weak slightly weathered dark reddish brown calcareous MUDSTONE with closely to medium spaced randomly orientated gypsum veins.  Fractures are closely to medium spaced mooth,-3.4495018942,53.9915608157,30/06/2010
356,G06,28.5,8.0,,,,,,,,,,,,,6.9,100.0,,,mud,,-3.4495018942,53.9915608157,30/06/2010
357,G06,30.0,7.6,,,,,,,,,,,,,10.5,96.7,,,mud,,-3.4495018942,53.9915608157,30/06/2010
358,G06,31.0,7.9,,,,,,,,,,,,,,,,,mud,Very weak and weak slightly to partially weathered dusky red calcareous MUDSTONE with very closely to medium spaced subhorizontal to inclined (50 degrees) gypsum veins (<30mm thick) inclined between <5 degrees and 50 degrees,-3.4495018942,53.9915608157,30/06/2010
359,G06,31.5,8.2,,,,,,,,,,,,,,96.7,,,mud,,-3.4495018942,53.9915608157,30/06/2010
360,G06,33.0,8.5,,,,,,,,,,,,,4.9,86.7,,,mud,,-3.4495018942,53.9915608157,30/06/2010
361,G06,34.5,10.75,,,,,,,,,,,,,,76.7,,,mud,,-3.4495018942,53.9915608157,30/06/2010
362,G06,36.0,13.0,,,,,,,,,,,,,1.1,70.0,,,mud,,-3.4495018942,53.9915608157,30/06/2010
363,G06,37.0,11.3,,,,,,,,,,,,,,,,,mud,Weak slightly weathered reddish brown calcareous MUDSTONE with closely to medium spaced randomly orientated gypsum veins (<10mm thick).  Fractures are closely to medium spaced inclined betwe en <5 degrees and >85 degrees,-3.4495018942,53.9915608157,30/06/2010
364,G06,37.5,9.6,,,,,,,,,,,,,,93.3,,,mud,,-3.4495018942,53.9915608157,30/06/2010
365,G06,39.0,7.9,,,,,,,,,,,,,5.1,100.0,,,mud,,-3.4495018942,53.9915608157,30/06/2010
366,G10,0.0,31.39,,,,,,,,,31.0,10.0,,,,,,,"clay, sand",Very soft dark grey sandy CLAY,-3.4271657853,53.9722671544,02/07/2010
367,G10,1.0,38.94,,,,,,CD,Reconstituted,2.68,,,,,,,31.0,0.002,"clay, sand",,-3.4271657853,53.9722671544,02/07/2010
368,G10,2.0,21.14,2013.25,1661.57,,,,,,,,,0.17,,,,,,sand,Light greyish brown slightly silty to silty SAND,-3.4271657853,53.9722671544,02/07/2010
369,G10,3.0,17.86,1950.39,1654.77,,,,,,,,,0.15,,,,,0.002,sand,from 3.35 m to 4.00 m - dark grey green.,-3.4271657853,53.9722671544,02/07/2010
370,G10,4.0,21.78,,,,,,CD,Reconstituted,2.67,,,,,,,44.5,0.002,sand,Below 4.00 m - rare shell fragments.,-3.4271657853,53.9722671544,02/07/2010
371,G10,5.0,20.77,,,,,,,,,,,,,,,,,sand,from 5.00 m to 5.45 m - locally with very closely spaced thin laminae of dark grey to black silt/fine sand.,-3.4271657853,53.9722671544,02/07/2010
372,G10,6.0,22.71,,,,,,,,,,,,,,,,,sand,,-3.4271657853,53.9722671544,02/07/2010
373,G10,7.0,23.26,,,,,,,,,,,,,,,,0.002,sand,,-3.4271657853,53.9722671544,02/07/2010
374,G10,8.0,22.96,,,,,,,,,,,,,,,,,sand,from 8.05 m to 8.15 m - dark grey.,-3.4271657853,53.9722671544,02/07/2010
375,G10,9.0,22.16,,,,,,,,,,,,,,,,,sand,at 9.10 m - lens (<25mm x <25mm) of dark grey fine and medium sand.,-3.4271657853,53.9722671544,02/07/2010
376,G10,10.0,25.14,,,,,,CD,Reconstituted,2.67,,,,,,,40.0,0.002,sand,,-3.4271657853,53.9722671544,02/07/2010
377,G10,11.0,24.35,,,,,,,,,,,,,,,,,sand,from 11.00 m to 12.15 m - dark greyish brown silty sand with rare shell fragments (<3mm).  Sand is mainly fine.,-3.4271657853,53.9722671544,02/07/2010
378,G10,12.0,28.19,,,,,,,,,,,,,,,,0.002,sand,at 12.15 m - sand is fine,-3.4271657853,53.9722671544,02/07/2010
379,G10,13.0,18.89,,,,,,,,,,,,,,,,,gravel,Probably very stiff dark brown slightly gravelly to coarse.  Gravel is angular to subrounded fine to coarse of mixed lithologies,-3.4271657853,53.9722671544,02/07/2010
380,G10,13.3,9.59,2344.55,2161.06,782.0,900.0,272.0,CU,Undisturbed,,23.0,12.0,0.0799999999999999,11734.0,,,,0.002,gravel,,-3.4271657853,53.9722671544,02/07/2010
381,G10,14.0,10.09,,,,,,,,,,,,,,,,,"gravel, sand",Greenish black crystalline (<2mm) MICROGABBRO recovered as sandy gravel.  Sand is fine to coarse.  Gravel is angular and subangular fine and medium of extremely weak to very weak microgabbro . (WEST OF DUDDON SANDS MICROGABBRO) [UNIT V],-3.4271657853,53.9722671544,02/07/2010
382,G10,14.3,10.59,,,,,,,,,,,,,,,,,"gravel, sand",,-3.4271657853,53.9722671544,02/07/2010
383,G10,14.6,0.3,,,,,,,,,,,,,107.45,81.3,,,"gravel, sand",,-3.4271657853,53.9722671544,02/07/2010
384,G10,15.4,0.25,,,,,,,,,,,,,,100.0,,,"gravel, sand",,-3.4271657853,53.9722671544,02/07/2010
385,G10,16.9,0.2,,,,,,,,,,,,,130.1,100.0,,,"gravel, sand",,-3.4271657853,53.9722671544,02/07/2010
386,G10,18.0,0.2,,,,,,,,,,,,,,,,,"gravel, sand",from 18.40 m to 19.90 m - Fractures closely spaced inclined <5 to 30 degrees,-3.4271657853,53.9722671544,02/07/2010
387,G10,18.4,0.2,,,,,,,,,,,,,134.4,98.7,,,"gravel, sand",,-3.4271657853,53.9722671544,02/07/2010
388,H12,0.0,38.6,,,,,,,,,,,,,,,,,"clay, sand",Very soft dark greyish brown sandy CLAY with rare shell fragments (<20mm). Sand is fine and medium.  With rare pockets of black fine sand and slight organic odour. (SURFACE SANDS - SEDIMENT LAYER) [UNIT I],-3.3991828693,53.9611135844,06/07/2010
389,H12,1.0,33.21,,,,,,,,,,,,,,,,,sand,from 1.00 m to 2.00 m - occasional shells (<50mm).  Locally grades into silty sand.,-3.3991828693,53.9611135844,06/07/2010
390,H12,2.0,22.0,,,,,,CD,Reconstituted,2.67,27.0,5.0,,,,,32.0,0.002,sand,,-3.3991828693,53.9611135844,06/07/2010
391,H12,3.0,27.71,,,,,,,,,,,,,,,,,sand,Dark greyish brown silty,-3.3991828693,53.9611135844,06/07/2010
392,H12,4.0,21.58,2018.35,1661.57,,,,,,,,,0.18,,,,,,sand,from 4.00 m to 5.00 m - silty.,-3.3991828693,53.9611135844,06/07/2010
393,H12,5.0,19.0,,,,,,,,,,,,,,,,,sand,Dark greyish brown slightly silty to silty SAND.  Sand is fine and medium.  With rare shells and shell fragments (<40mm) and rare pockets (<60mm) of dark grey fine sand.  (WESTERN IRISH SEA PROGRADED SANDS - UPPER MEMBER) [UNIT IIa],-3.3991828693,53.9611135844,06/07/2010
394,H12,6.0,21.3,,,,,,,,,,,,,,,,,sand,,-3.3991828693,53.9611135844,06/07/2010
395,H12,7.0,45.85,,,,,,,,,,,,,,,,,sand,from 7.00 m to 7.10 m - frequent shells and shell fragments (<40mm).,-3.3991828693,53.9611135844,06/07/2010
396,H12,8.0,22.61,,,,,,CD,Reconstituted,,,,,,,,42.0,0.002,sand,,-3.3991828693,53.9611135844,06/07/2010
397,H12,9.0,21.89,,,,,,,,,,,,,,,,,sand,Greyish brown silty SAND,-3.3991828693,53.9611135844,06/07/2010
398,H12,10.0,22.52,,,,,,,,,,,,,,,,,sand,,-3.3991828693,53.9611135844,06/07/2010
399,H12,11.0,22.19,,,,,,,,,,,,,,,,0.002,sand,from 11.00 m to 12.40 m - occasional pockets/lenses (<40mm) of dark greyish brown and black silty fine sand.,-3.3991828693,53.9611135844,06/07/2010
400,H12,12.0,22.72,,,,,,CD,Reconstituted,,,,,,,,42.0,0.002,sand,,-3.3991828693,53.9611135844,06/07/2010
401,H12,13.0,24.43,,,,,,,,,,,,,,,,,sand,,-3.3991828693,53.9611135844,06/07/2010
402,H12,14.0,24.22,,,,,,,,,,,,,,,,,sand,,-3.3991828693,53.9611135844,06/07/2010
403,H12,15.0,35.59,,,,,,,,,,,,,,,,,sand,from 15.00 m to 18.15 m - black speckling.,-3.3991828693,53.9611135844,06/07/2010
404,H12,16.0,34.2,,,,,,,,,,,,,,,,,sand,,-3.3991828693,53.9611135844,06/07/2010
405,H12,16.5,32.8,,,,,,,,,,,,,,,,,sand,,-3.3991828693,53.9611135844,06/07/2010
406,H12,17.0,28.62,,,,,,,,,,,,,,,,,clay,from 17.50 m to 18.15 m - becoming slightly clayey.,-3.3991828693,53.9611135844,06/07/2010
407,H12,17.5,24.43,,,,,,,,,,,,,,,,,clay,,-3.3991828693,53.9611135844,06/07/2010
408,H12,18.0,18.75,,,,,,,,,,,,,,,,,"clay, gravel, sand",Stiff brown sandy silty CLAY with rare subrounded fine gravel and rare carbonaceous debris (<3mm). Sand is fine. (CARDIGAN BAY - UPPER TILL) [UNIT III],-3.3991828693,53.9611135844,06/07/2010
409,H12,18.5,13.06,,,,627.0,,,,,,,,,,,,0.002,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
410,H12,19.0,15.37,,,,,,,,,,,,,,,,,"clay, sand",Firm medium strength greyish brown thinly to thickly interlaminated slightly sandy CLAY and clayey SAND BAY - UPPER TILL -LAMINATED) [UNIT IIIa],-3.3991828693,53.9611135844,06/07/2010
411,H12,19.5,17.67,2191.64,1885.83,,112.0,762.0,CU,Undisturbed,2.68,24.0,9.0,0.14,,,,,0.002,"clay, sand",,-3.3991828693,53.9611135844,06/07/2010
412,H12,20.0,18.76,,,,,,,,,,,,,,,,,"clay, sand",at 20.85 m - rare shell fragments (<3mm).,-3.3991828693,53.9611135844,06/07/2010
413,H12,20.5,19.85,2084.61,1722.73,88.0,112.0,43.0,UU,Undisturbed,,26.0,10.0,0.17,14395.61,,,,0.002,"clay, sand",,-3.3991828693,53.9611135844,06/07/2010
414,H12,21.0,21.96,,,,,,,,,,,,,,,,,clay,at 21.90 m - 1 No. lens (4mm x 50mm) of dark grey/black clay. Possibly organic.,-3.3991828693,53.9611135844,06/07/2010
415,H12,21.5,24.06,1952.09,1544.34,,52.0,64.0,CU,Undisturbed,2.71,31.5,14.5,0.2099999999999999,,,,,0.002,clay,,-3.3991828693,53.9611135844,06/07/2010
416,H12,22.0,26.47,,,,,,,,,,,,,,,,,"clay, sand",Firm medium strength brown thinly to thickly laminated slightly sandy CLAY with occasional thin to thick laminae of light grey brown silt. Sand is fine. (CARDIGAN BAY - UPPER TILL - LAMINATE D) [UNIT IIIa],-3.3991828693,53.9611135844,06/07/2010
417,H12,22.5,28.88,1972.48,1544.34,72.0,47.0,30.0,UU,Undisturbed,,,,0.2199999999999999,14916.96,,,,,"clay, sand",,-3.3991828693,53.9611135844,06/07/2010
418,H12,23.5,29.6,,,,30.0,,,,2.73,,,,,,,,0.002,"clay, sand",,-3.3991828693,53.9611135844,06/07/2010
419,H12,24.0,29.12,,,,,,,,,,,,,,,,,"clay, sand",at 24.05 m - 1 No. thin lamina (5mm) of soft dark grey/black clay. Possibly organic.,-3.3991828693,53.9611135844,06/07/2010
420,H12,24.5,28.64,1946.99,1467.89,,34.0,38.0,UU,Remoulded,,48.0,29.0,0.25,,,,,0.002,"clay, sand",,-3.3991828693,53.9611135844,06/07/2010
421,H12,25.0,27.85,,,,,,,,,,,,,,,,,sand,at 25.30 m - 1 No. lens (10mm x 25mm) of light grey brown silty fine sand.,-3.3991828693,53.9611135844,06/07/2010
422,H12,25.5,27.06,1890.93,1411.82,,42.0,55.0,CU,Undisturbed,,48.5,27.5,0.25,,,,,0.002,sand,,-3.3991828693,53.9611135844,06/07/2010
423,H12,26.0,22.02,,,,,,,,,,,,,,,,,"clay, gravel, sand",from 26.05 m to 26.50 m - soft to firm thinly to thickly laminated red brown sandy clay. Sand is fine.,-3.3991828693,53.9611135844,06/07/2010
424,H12,26.5,16.99,2028.54,1702.34,,45.0,38.0,UU,Undisturbed,,,,0.16,,,,,,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
425,H12,27.5,15.46,1997.96,1722.73,,62.0,51.0,UU,Undisturbed,,28.0,15.0,0.14,,,,,0.002,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
426,H12,28.5,15.5,1967.38,1681.96,,57.0,57.0,UU,Undisturbed,,29.0,15.0,0.15,,,,,0.002,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
427,H12,29.0,14.91,,,,,,,,,,,,,,,,,"clay, gravel, sand",Stiff becoming very stiff very high strength with depth reddish brown slightly sandy to sandy slightly gravelly CLAY. Sand is mainly fine and medium. Gravel is subangular and subrounded e to coarse. (CARDIGAN BAY - UPPER TILL) [UNIT III],-3.3991828693,53.9611135844,06/07/2010
428,H12,29.5,14.32,2234.96,1972.48,165.0,125.0,148.0,UU,Undisturbed,,27.0,14.5,0.12,22259.81,,,,0.002,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
429,H12,30.0,14.42,,,,,,,,,,,,,,,,,"clay, gravel, sand",from 30.50 m to 31.50 m - low cobble content (<10%). Cobbles are subrounded (<75mm).,-3.3991828693,53.9611135844,06/07/2010
430,H12,30.5,14.52,,,,85.0,,,,2.71,,,,,,,,,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
431,H12,31.5,15.36,2206.93,1855.25,,106.0,136.0,UU,Remoulded,,27.0,14.0,0.16,,,,,0.002,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
432,H12,32.5,13.12,2186.54,1931.7,,112.0,118.0,UU,Undisturbed,2.71,28.0,15.0,0.12,,,,,0.002,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
433,H12,33.5,11.97,2222.22,1977.57,142.0,274.0,290.0,UU,Undisturbed,,,,0.1099999999999999,25058.08,,,,,"clay, gravel, sand",,-3.3991828693,53.9611135844,06/07/2010
434,H12,34.0,12.21,,,,,,,,,,,,,,,,,sand,Very stiff extremely high strength nd gabbro. (CARDIGAN BAY - LOWER TILL) [UNIT IV],-3.3991828693,53.9611135844,06/07/2010
435,H12,34.5,12.45,2171.25,1936.8,,358.0,276.0,UU,Undisturbed,,27.0,14.0,0.1099999999999999,,,,,0.002,sand,,-3.3991828693,53.9611135844,06/07/2010
436,H12,35.5,11.54,,,,,,,,,,,,,,,,,sand,,-3.3991828693,53.9611135844,06/07/2010
437,H12,36.0,11.21,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",Very stiff dark brown slightly gravelly sandy locally slightly sandy CLAY with low cobble content (<10%). Sand is fine to coarse. Gravel is angular to subrounded fine to coarse of gabbro and mudstone. Cobbles are subangular and subrounded of gabbro (<80mm). (CARDIGAN BAY - LOWER TILL) [UNIT IV],-3.3991828693,53.9611135844,06/07/2010
438,H12,36.5,10.88,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",,-3.3991828693,53.9611135844,06/07/2010
439,H12,37.5,12.11,2324.16,2079.51,,,478.0,CU,Undisturbed,2.7,30.0,16.0,0.1099999999999999,,,,,0.002,"clay, gravel, mud, sand",,-3.3991828693,53.9611135844,06/07/2010
440,H12,39.0,18.75,,,,,,,,,,,,,,,,,"clay, gravel, mud, sand",,-3.3991828693,53.9611135844,06/07/2010
441,J06,0.0,31.79,1901.12,,,,,,,,,,,,,,,,"clay, sand",Very soft dark grey sandy CLAY with rare shell fragments (<20mm).  Sand is fine. (SURFACE SANDS - SEDIMENT LAYER) [UNIT I],-3.4125767805,53.9997648148,08/07/2010
442,J06,1.0,30.26,1921.51,,,,,CD,Reconstituted,2.69,,,,,,,26.5,0.002,"clay, sand",Below 1.00 m - grades into clayey sand.,-3.4125767805,53.9997648148,08/07/2010
443,J06,2.0,19.97,2086.65,,,,,,,,,,,,,,,,sand,Dark greyish brown silty locally very silty SAND EMBER) [UNIT IIa],-3.4125767805,53.9997648148,08/07/2010
444,J06,3.0,21.87,2051.99,,,,,,,,,,,,,,,,sand,from 3.00 m to 3.45 m - slightly silty with occasional shell fragments (<15mm).,-3.4125767805,53.9997648148,08/07/2010
445,J06,4.0,21.42,2060.14,,,,,,,,,,,,,,,,sand,from 4.00 m to 4.10 m - frequent shell and shell fragments (<18mm).,-3.4125767805,53.9997648148,08/07/2010
446,J06,5.0,18.69,2112.13,,,,,,,,,,,,,,,,sand,from 5.00 m to 5.35 m - becoming greenish grey with occasional pockets (<35mm) of dark grey sandy silt.,-3.4125767805,53.9997648148,08/07/2010
447,J06,6.0,22.34,2043.83,,,,,,,,,,,,,,,,sand,,-3.4125767805,53.9997648148,08/07/2010
448,J06,7.0,24.34,2010.19,,,,,CD,Reconstituted,,,,,,,,45.5,0.002,sand,below 7.00 m - rare black speckling.,-3.4125767805,53.9997648148,08/07/2010
449,J06,8.0,22.51,2040.77,,,,,,,,,,,,,,,,sand,at 8.30 m - 1 No. thick lamina (<7mm) of black silty fine sand.,-3.4125767805,53.9997648148,08/07/2010
450,J06,9.0,25.15,1996.94,,,,,,,,,,,,,,,,sand,from 9.00 m to 9.45 m - rare shell fragments (<5mm).,-3.4125767805,53.9997648148,08/07/2010
451,J06,10.0,24.96,2000.0,,,,,,,,,,,,,,,,sand,,-3.4125767805,53.9997648148,08/07/2010
452,J06,11.0,25.26,1994.9,,,,,,,,,,,,,,,0.002,sand,at 11.07 m - 1 No. thick lamina (<10mm) of black silty fine sand.,-3.4125767805,53.9997648148,08/07/2010
453,J06,12.0,32.19,1896.02,,,,,,,,,,,,,,,,sand,,-3.4125767805,53.9997648148,08/07/2010
454,J06,13.0,27.67,1958.21,,,,,,,,,,,,,,,,sand,,-3.4125767805,53.9997648148,08/07/2010
455,J06,14.0,21.9,2051.99,,,,,,,,,,,,,,,,sand,from 14.00 m to 14.35 m - rare shell fragments (<2mm).,-3.4125767805,53.9997648148,08/07/2010
456,J06,15.0,28.32,1948.01,,,,,,,,,,,,,,,,sand,Dark greenish grey silty SAND,-3.4125767805,53.9997648148,08/07/2010
